iter	RMSE
0	370.5141175
1	333.2509971
2	312.399636
3	299.0944253
4	289.4764105
5	283.2402536
6	276.2657655
7	272.1660746
8	267.5361498
9	263.9680545
10	260.8483729
11	258.8850397
12	256.5890308
13	253.749613
14	250.5810876
15	248.4128523
16	246.6984285
17	245.4957339
18	243.5597542
19	242.1343454
20	240.8721069
21	239.937061
22	239.1596316
23	238.71168
24	237.7105019
25	236.9215549
26	236.0331928
27	235.3912108
28	234.5235483
29	233.7576278
30	232.9732515
31	232.3238972
32	231.657498
33	231.1929308
34	230.5696904
35	230.0130635
36	229.6233759
37	229.1058108
38	228.618402
39	228.2576174
40	227.9472714
41	227.6680771
42	227.2283041
43	226.7594457
44	226.5028826
45	226.0040245
46	225.6515403
47	225.4148266
48	225.1452927
49	224.9566374
50	224.666124
51	224.4127261
52	224.191472
53	224.0241466
54	223.78298
55	223.5415975
56	223.2436207
57	222.8346347
58	222.6220213
59	222.4129812
60	222.2576912
61	222.1398697
62	221.9694089
63	221.7968146
64	221.6489054
65	221.4796546
66	221.3728579
67	221.2380864
68	221.075813
69	220.9087015
70	220.7989737
71	220.5761238
72	220.3708004
73	220.2593164
74	220.1023942
75	219.9625173
76	219.8742306
77	219.6869888
78	219.5164118
79	219.3945522
80	219.2729264
81	219.1259803
82	219.0351957
83	218.9269258
84	218.8351571
85	218.7444494
86	218.6999096
87	218.5693744
88	218.4537462
89	218.3699256
90	218.2440776
91	218.1151311
92	218.0002984
93	217.8914888
94	217.8233851
95	217.7612145
96	217.6859645
97	217.5760575
98	217.3843179
99	217.3219604
100	217.2202452
101	217.1273963
102	217.0761226
103	217.0119008
104	216.8853143
105	216.817011
106	216.7423189
107	216.7049451
108	216.6446165
109	216.5137121
110	216.4333501
111	216.3624734
112	216.2505313
113	216.1815301
114	216.1285815
115	216.0082622
116	215.9630829
117	215.9208579
118	215.8598096
119	215.7855582
120	215.7072247
121	215.615835
122	215.5558122
123	215.4834553
124	215.4010098
125	215.3706313
126	215.3236595
127	215.2162264
128	215.1184329
129	215.0491562
130	214.972066
131	214.9412128
132	214.8859772
133	214.7956062
134	214.7230262
135	214.6712211
136	214.5959655
137	214.5221307
138	214.4560385
139	214.3944719
140	214.352712
141	214.3071843
142	214.1979345
143	214.1308255
144	214.0264438
145	213.9648856
146	213.9122467
147	213.8194396
148	213.7687745
149	213.7066466
150	213.6365753
151	213.5557766
152	213.4836628
153	213.4141913
154	213.3557322
155	213.3274337
156	213.2938649
157	213.2767895
158	213.2147456
159	213.161693
160	213.1266412
161	213.1009839
162	213.0109002
163	212.9546115
164	212.9199954
165	212.8599728
166	212.7758603
167	212.7159348
168	212.5874157
169	212.51979
170	212.4642286
171	212.3891031
172	212.358008
173	212.3076804
174	212.2587189
175	212.1706304
176	212.1042671
177	212.0612077
178	212.0179288
179	211.9649031
180	211.9139998
181	211.8584255
182	211.7958615
183	211.7682644
184	211.7378992
185	211.6850783
186	211.5981396
187	211.5650892
188	211.5319556
189	211.4988891
190	211.4424559
191	211.4173839
192	211.3713161
193	211.323352
194	211.2688072
195	211.210247
196	211.1307946
197	211.0833039
198	211.0446234
199	210.9987901
