iter	Passed	Remaining
0	6	1223
1	12	1191
2	17	1169
3	23	1142
4	28	1119
5	34	1101
6	39	1080
7	44	1069
8	49	1047
9	55	1047
10	60	1044
11	65	1030
12	71	1024
13	76	1010
14	81	1000
15	86	991
16	91	985
17	96	971
18	101	963
19	106	956
20	111	947
21	116	941
22	121	931
23	126	925
24	131	919
25	136	912
26	141	904
27	146	897
28	151	890
29	156	886
30	161	880
31	167	877
32	172	871
33	177	864
34	182	859
35	187	852
36	191	845
37	197	840
38	202	836
39	207	830
40	212	824
41	218	820
42	222	814
43	227	808
44	232	801
45	237	796
46	242	790
47	247	783
48	252	778
49	257	771
50	262	766
51	267	761
52	272	756
53	277	750
54	282	745
55	287	740
56	293	735
57	298	730
58	303	724
59	308	719
60	313	713
61	317	707
62	322	701
63	327	695
64	332	690
65	336	684
66	341	678
67	346	672
68	351	667
69	356	661
70	361	657
71	367	653
72	372	648
73	377	642
74	382	637
75	387	632
76	392	627
77	398	622
78	403	617
79	407	611
80	412	605
81	417	601
82	423	597
83	428	592
84	434	587
85	439	582
86	444	576
87	449	571
88	454	566
89	458	560
90	463	555
91	468	549
92	473	544
93	478	539
94	483	534
95	488	528
96	492	523
97	497	518
98	502	513
99	507	507
100	513	502
101	518	498
102	523	493
103	528	487
104	533	482
105	538	477
106	543	472
107	548	467
108	553	461
109	558	456
110	563	451
111	568	446
112	573	441
113	578	436
114	583	430
115	588	425
116	593	420
117	598	415
118	603	410
119	608	405
120	613	400
121	618	395
122	622	389
123	627	384
124	632	379
125	637	374
126	642	369
127	647	364
128	652	359
129	657	354
130	662	349
131	667	344
132	672	339
133	677	333
134	682	328
135	690	324
136	695	319
137	699	314
138	704	309
139	709	304
140	714	299
141	719	294
142	725	289
143	730	284
144	735	278
145	740	273
146	745	268
147	751	264
148	756	259
149	762	254
150	768	249
151	773	244
152	779	239
153	784	234
154	790	229
155	797	224
156	803	219
157	808	214
158	813	209
159	818	204
160	823	199
161	828	194
162	833	189
163	839	184
164	843	178
165	848	173
166	853	168
167	858	163
168	864	158
169	868	153
170	874	148
171	879	143
172	884	138
173	889	132
174	895	127
175	900	122
176	905	117
177	910	112
178	916	107
179	921	102
180	926	97
181	931	92
182	937	87
183	943	82
184	948	76
185	954	71
186	959	66
187	966	61
188	973	56
189	980	51
190	985	46
191	990	41
192	996	36
193	1001	30
194	1006	25
195	1011	20
196	1016	15
197	1021	10
198	1026	5
199	1031	0
